date,is_boarded,fire,homeless,address,zip_code,ward,community_area,latitude,longitude
2018-04-30,0,0,0,7166 N ozark ave,60631,41,9,42.010679915816425,-87.81999973080524
2018-04-30,0,0,0,6405 S racine ave,60636,16,68,41.777700229423154,-87.65444929841742
2018-11-30,0,0,1,2000 E 71st st,60649,5,43,41.766243831948785,-87.57630225914129
2018-11-30,0,0,0,1743 W 59th st,60636,15,67,41.786700208719154,-87.66826211148381
2018-11-30,1,0,1,839 N long ave,60651,37,25,41.89593321636101,-87.76067576045008
2018-11-30,0,0,0,2725 W warren blvd,60612,27,27,41.88201029672983,-87.69453806982146
2018-11-30,0,0,0,49 W 111th pl,60628,34,49,41.69166276733335,-87.6244084354114
2018-11-30,0,0,1,4846 W st paul ave,60639,37,25,41.91235390794022,-87.74748660006227
2018-11-30,0,0,0,28 E 118th st,60628,9,53,41.67985817830568,-87.6221245988418
2018-11-30,1,1,1,9105 S wentworth ave,60620,21,49,41.72887552732323,-87.62885631147138
2018-11-30,0,0,1,6216 S elizabeth st,60636,16,67,41.781113295211696,-87.65580224979419
2018-05-01,0,0,1,9438 S justine st,60620,21,73,41.72235260441361,-87.66148904529412
2018-05-01,0,0,0,5653 S paulina st,60636,16,67,41.79120640278384,-87.66694274915554
2018-05-01,0,0,1,4722 S indiana ave,60615,3,38,41.8089068961628,-87.62120196998649
2018-05-01,1,0,0,8043 S peoria st,60620,21,71,41.74799109706932,-87.6463920065377
2018-05-01,0,0,0,6339 S elizabeth st,60636,16,67,41.77887620996876,-87.65571225821023
2018-05-01,0,0,0,3713 E 106th st,60617,10,52,41.70272489046707,-87.53357194622633
2018-05-01,0,0,0,1912 S sawyer ave,60623,24,29,41.855187159638035,-87.70657004013098
2018-05-01,0,0,0,6628 S carpenter st,60621,6,68,41.7736903066587,-87.65070285259873
2018-12-01,1,0,0,11745 S la salle st,60628,34,53,41.68079394986952,-87.62637846596488
2018-12-01,0,0,1,7128 S champlain ave,60619,6,69,41.76529813838886,-87.60921209613107
2018-12-01,0,0,1,7132 S champlain ave,60619,6,69,41.7652243058937,-87.60921036047925
2018-12-01,0,0,0,6832 S loomis blvd,60636,17,67,41.76985362094694,-87.6590980873726
2018-12-01,0,0,0,536 E 92nd pl,60619,9,44,41.7265280839724,-87.61016253901137
